DATE,OBSERVATIONS,MEAN_COUNTS,MEDIAN_COUNTS,STD_COUNTS,MIN_COUNTS,MAX_COUNTS,BACKGROUND_COUNTS,FLARE_STRENGTH,FLARE_SIGNIFICANCE,PEAK_TIME
20260602,86398,43.00655107757124,14.0,153.42820996387556,0.0,2043.0,14.0,2029.0,13.224425941472726,1780418955.0
20260603,86397,155.93896778823338,15.0,761.7183578876796,0.0,7190.0,15.0,7175.0,9.419492028388268,1780486083.0
20260605,86391,17.90406408074915,12.0,21.946381240021505,0.0,184.0,12.0,172.0,7.837282972481137,1780699590.0
20260606,86395,48.33651252966028,16.0,126.01763380774301,0.0,1019.0,16.0,1003.0,7.959203562972881,1780754643.0
20260607,86397,14.126636341539637,11.0,10.908149467238303,0.0,119.0,11.0,108.0,9.900854432217747,1780805987.0
20260608,86395,15.706476069216968,10.0,27.67862947649253,0.0,362.0,10.0,352.0,12.71739268372929,1780886994.0
20260610,86396,9.159023565905828,6.0,22.268187410664808,0.0,288.0,6.0,282.0,12.66380576018248,1781135779.0
20260611,86396,22.955530348627253,9.0,49.04147839110151,0.0,507.0,9.0,498.0,10.154669401042387,1781166489.0
20260612,70191,12.270704221338917,9.0,13.91392307345645,0.0,217.0,9.0,208.0,14.94905490722462,1781230405.0
20260613,86397,8.936710765420095,6.0,12.176196312380865,0.0,110.0,6.0,104.0,8.541255194304963,1781355909.0
20260614,86394,5.040604671620715,4.0,4.5679408469226095,0.0,59.0,4.0,55.0,12.040436127156315,1781427365.0
20260615,86398,8.228246024213524,7.0,6.2179893016740975,0.0,95.0,7.0,88.0,14.152484948198184,1781529326.0
20260616,86393,5.581227645758337,5.0,4.2448230768156465,0.0,49.0,5.0,44.0,10.36556746977724,1781570877.0
20260617,15789,4.982709481284439,5.0,2.7989633030555163,0.0,21.0,5.0,16.0,5.716402205964416,1781655250.0
20260618,78700,6.201397712833545,4.0,7.571370851311095,0.0,97.0,4.0,93.0,12.283112507148646,1781783711.0
20260619,86395,7.641611204352103,6.0,12.802758343314515,0.0,217.0,6.0,211.0,16.480823455531542,1781897866.0
20260620,86398,27.803664436676776,8.0,84.94990285795913,0.0,885.0,8.0,877.0,10.32373164059283,1781920332.0
20260621,86395,84.90439261531338,13.0,349.59538483864674,0.0,4931.0,13.0,4918.0,14.06769143211049,1782070120.0
20260622,86397,10.033785895343588,8.0,6.538493025756524,0.0,53.0,8.0,45.0,6.882319797961911,1782104127.0
20260623,86398,28.4715271186833,14.0,47.748025104401506,0.0,500.0,14.0,486.0,10.178431441663951,1782257130.0
20260624,86396,27.12726283624242,20.0,21.317065692003133,1.0,195.0,20.0,175.0,8.209385031151326,1782312062.0
20260625,86398,34.900310192365566,25.0,29.435605277598363,1.0,350.0,25.0,325.0,11.041050351607263,1782399787.0
20260626,86396,23.820072688550397,18.0,24.908674452205464,2.0,275.0,18.0,257.0,10.31769075039016,1782478014.0
20260627,86397,44.068520897716354,31.0,37.21217619519017,5.0,318.0,31.0,287.0,7.7125293209026555,1782594713.0
20260628,86395,37.23023323108976,28.0,42.619005729911315,4.0,463.0,28.0,435.0,10.206713942524093,1782682963.0
20260629,86398,69.18042084307507,43.0,76.5687925940089,6.0,748.0,43.0,705.0,9.207406517928591,1782769149.0
20260630,86396,244.87987869808788,56.0,746.4922156117857,6.0,7566.0,56.0,7510.0,10.060386220967086,1782852606.0
20260701,86395,237.67260836853984,107.0,425.43114507252363,7.0,6128.0,107.0,6021.0,14.152701488212845,1782947329.0
20260702,86398,154.02172503993148,95.0,214.00309404659285,26.0,2726.0,95.0,2631.0,12.294214771619972,1782957366.0
20260703,86310,255.59093963619512,130.0,534.564783896583,17.0,4693.0,130.0,4563.0,8.535915828085598,1783102227.0
